iter	Passed	Remaining
0	1082	1081444
1	1372	684869
2	1723	572881
3	2103	523843
4	2358	469403
5	2609	432315
6	2876	408061
7	3164	392448
8	3441	378933
9	3722	368565
10	4009	360488
11	4266	351275
12	4525	343558
13	4820	339527
14	5067	332755
15	5342	328535
16	5618	324861
17	5895	321654
18	6155	317801
19	6483	317698
20	6803	317169
21	7091	315237
22	7358	312588
23	7751	315228
24	8017	312693
25	8267	309698
26	8544	307932
27	8828	306475
28	9076	303893
29	9315	301208
30	9565	298992
31	9797	296385
32	10055	294670
33	10286	292263
34	10488	289180
35	10750	287881
36	10990	286052
37	11234	284400
38	11488	283094
39	11706	280956
40	11928	279010
41	12188	278007
42	12430	276640
43	12663	275144
44	12925	274312
45	13169	273133
46	13402	271751
47	13671	271159
48	13889	269576
49	14157	268999
50	14440	268703
51	14651	267113
52	14893	266123
53	15110	264705
54	15335	263493
55	15583	262691
56	15831	261908
57	16044	260583
58	16284	259716
59	16502	258544
60	16770	258153
61	17022	257537
62	17286	257102
63	17490	255803
64	17695	254542
65	17952	254062
66	18198	253419
67	18456	252967
68	18687	252145
69	18922	251400
70	19184	251025
71	19423	250350
72	19693	250074
73	19898	249002
74	20137	248365
75	20371	247673
76	20593	246858
77	20828	246200
78	21074	245696
79	21309	245055
80	21565	244676
81	21816	244236
82	22063	243762
83	22359	243822
84	22615	243445
85	22865	243016
86	23105	242480
87	23315	241630
88	23532	240880
89	23761	240255
90	23976	239503
91	24208	238931
92	24467	238628
93	24745	238504
94	24999	238151
95	25254	237817
96	25482	237224
97	25725	236782
98	25989	236530
99	26223	236010
100	26442	235362
101	26661	234729
102	26933	234559
103	27186	234225
104	27432	233827
105	27686	233508
106	27900	232854
107	28153	232524
108	28413	232261
109	28650	231805
110	28912	231561
111	29147	231097
112	29394	230737
113	29635	230327
114	29868	229854
115	30179	229985
116	30415	229546
117	30654	229128
118	30884	228651
119	31118	228200
120	31344	227704
121	31584	227308
122	31810	226810
123	32057	226468
124	32277	225942
125	32507	225487
126	32736	225031
127	33019	224948
128	33288	224758
129	33517	224308
130	33757	223934
131	33988	223497
132	34231	223150
133	34458	222692
134	34684	222236
135	34912	221795
136	35141	221362
137	35394	221086
138	35672	220961
139	35920	220651
140	36155	220269
141	36366	219738
142	36561	219112
143	36822	218887
144	37078	218635
145	37319	218295
146	37584	218091
147	37814	217686
148	38047	217302
149	38261	216813
150	38517	216564
151	38757	216226
152	39004	215925
153	39252	215631
154	39496	215320
155	39760	215113
156	39976	214651
157	40263	214569
158	40494	214188
159	40764	214013
160	40976	213537
161	41270	213483
162	41530	213255
163	41770	212926
164	42013	212616
165	42272	212382
166	42482	211901
167	42717	211553
168	42982	211351
169	43197	210907
170	43419	210495
171	43674	210249
172	43939	210047
173	44206	209855
174	44456	209578
175	44681	209188
176	44919	208861
177	45164	208567
178	45399	208227
179	45646	207943
180	45883	207614
181	46162	207476
182	46416	207227
183	46638	206833
184	46870	206483
185	47114	206189
186	47322	205739
187	47568	205455
188	47825	205219
189	48079	204968
190	48289	204533
191	48586	204469
192	48838	204211
193	49068	203862
194	49320	203604
195	49562	203308
196	49791	202958
197	50022	202617
198	50298	202458
199	50590	202363
200	50826	202042
201	51076	201777
202	51305	201431
203	51505	200972
204	51742	200658
205	51985	200370
206	52218	200045
207	52449	199712
208	52733	199579
209	52980	199306
210	53240	199084
211	53455	198693
212	53693	198389
213	53916	198029
214	54154	197727
215	54424	197542
216	54653	197207
217	54916	196993
218	55149	196675
219	55402	196425
220	55610	196020
221	55878	195824
222	56107	195494
223	56347	195203
224	56568	194847
225	56838	194657
226	57094	194424
227	57332	194125
228	57585	193881
229	57838	193631
230	58053	193259
231	58331	193098
232	58553	192748
233	58793	192459
234	59034	192174
235	59310	192005
236	59559	191745
237	59812	191500
238	60060	191237
239	60338	191072
240	60594	190835
241	60822	190511
242	61077	190269
243	61317	189983
244	61565	189723
245	61826	189501
246	62043	189146
247	62293	188891
248	62506	188523
249	62747	188242
250	62963	187887
251	63211	187628
252	63443	187322
253	63667	186993
254	63929	186774
255	64150	186437
256	64415	186227
257	64679	186017
258	64926	185755
259	65216	185617
260	65460	185344
261	65709	185090
262	65951	184815
263	66209	184584
264	66459	184331
265	66683	184007
266	66947	183793
267	67204	183558
268	67429	183238
269	67670	182960
270	67906	182670
271	68155	182415
272	68385	182111
273	68620	181820
274	68858	181535
275	69114	181299
276	69355	181025
277	69590	180735
278	69840	180484
279	70079	180205
280	70348	180001
281	70594	179741
282	70829	179452
283	71096	179243
284	71384	179087
285	71653	178882
286	71909	178646
287	72160	178395
288	72441	178221
289	72651	177871
290	72891	177595
291	73127	177308
292	73362	177021
293	73614	176775
294	73846	176481
295	74105	176251
296	74352	175991
297	74605	175748
298	74852	175490
299	75129	175301
300	75392	175081
301	75663	174877
302	75973	174763
303	76226	174517
304	76470	174253
305	76729	174021
306	77020	173860
307	77268	173603
308	77534	173385
309	77800	173168
310	78068	172954
311	78371	172818
312	78644	172616
313	78923	172424
314	79142	172104
315	79396	171858
316	79653	171618
317	79927	171416
318	80174	171155
319	80402	170854
320	80646	170587
321	80890	170322
322	81141	170070
323	81342	169715
324	81586	169447
325	81819	169161
326	82073	168914
327	82342	168701
328	82595	168455
329	82850	168212
330	83120	167998
331	83369	167742
332	83621	167495
333	83887	167273
334	84121	166988
335	84376	166744
336	84598	166436
337	84839	166164
338	85111	165955
339	85337	165655
340	85572	165373
341	85792	165063
342	86051	164828
343	86297	164567
344	86551	164321
345	86803	164073
346	87037	163791
347	87282	163528
348	87532	163277
349	87792	163044
350	88074	162850
351	88333	162614
352	88583	162361
353	88828	162099
354	89081	161851
355	89325	161588
356	89592	161367
357	89861	161148
358	90116	160904
359	90359	160638
360	90594	160360
361	90828	160079
362	91087	159841
363	91328	159574
364	91565	159299
365	91842	159092
366	92073	158808
367	92320	158549
368	92554	158270
369	92825	158053
370	93085	157818
371	93360	157608
372	93595	157331
373	93845	157078
374	94107	156846
375	94339	156562
376	94562	156267
377	94818	156023
378	95039	155724
379	95269	155440
380	95499	155155
381	95709	154838
382	95978	154617
383	96240	154385
384	96497	154145
385	96737	153877
386	96997	153642
387	97212	153335
388	97457	153075
389	97719	152843
390	97948	152559
391	98193	152299
392	98425	152020
393	98678	151773
394	98906	151489
395	99176	151269
396	99409	150992
397	99618	150679
398	99861	150417
399	100077	150116
400	100327	149865
401	100581	149621
402	100853	149402
403	101092	149136
404	101317	148848
405	101581	148619
406	101841	148383
407	102073	148105
408	102332	147868
409	102587	147626
410	102829	147363
411	103089	147127
412	103309	146833
413	103572	146603
414	103817	146345
415	104086	146121
416	104292	145809
417	104542	145559
418	104799	145317
419	105033	145046
420	105293	144809
421	105543	144559
422	105774	144283
423	106011	144015
424	106252	143753
425	106549	143566
426	106846	143379
427	107163	143218
428	107432	142993
429	107738	142816
430	108089	142698
431	108339	142446
432	108671	142301
433	109011	142166
434	109309	141976
435	109700	141905
436	109992	141706
437	110290	141514
438	110570	141298
439	110879	141119
440	111210	140967
441	111572	140853
442	111918	140719
443	112293	140620
444	112724	140589
445	113045	140419
446	113364	140246
447	113725	140126
448	114111	140034
449	114458	139894
450	114773	139713
451	115125	139577
452	115414	139363
453	115705	139152
454	115991	138934
455	116306	138751
456	116630	138577
457	116926	138372
458	117191	138128
459	117492	137926
460	117813	137747
461	118102	137530
462	118395	137318
463	118678	137093
464	118978	136889
465	119243	136643
466	119513	136404
467	119772	136151
468	120011	135876
469	120300	135657
470	120588	135437
471	120899	135243
472	121190	135026
473	121496	134825
474	121791	134611
475	122130	134446
476	122390	134193
477	122722	134019
478	123010	133796
479	123263	133535
480	123551	133312
481	123824	133072
482	124184	132926
483	124481	132711
484	124765	132482
485	125052	132257
486	125364	132057
487	125637	131816
488	125905	131570
489	126238	131390
490	126480	131117
491	126811	130935
492	127050	130658
493	127310	130403
494	127605	130183
495	127935	129999
496	128207	129755
497	128459	129491
498	128728	129244
499	129059	129059
500	129332	128815
501	129680	128647
502	129972	128421
503	130277	128210
504	130576	127990
505	130835	127732
506	131195	127572
507	131512	127370
508	131819	127158
509	132153	126970
510	132469	126766
511	132741	126519
512	133077	126332
513	133379	126113
514	133653	125867
515	133907	125603
516	134196	125371
517	134463	125118
518	134738	124873
519	135035	124648
520	135274	124369
521	135511	124088
522	135785	123842
523	136018	123558
524	136253	123276
525	136576	123074
526	136840	122818
527	137051	122515
528	137302	122248
529	137560	121987
530	137848	121753
531	138129	121512
532	138424	121283
533	138703	121040
534	138998	120812
535	139274	120565
536	139549	120318
537	139788	120041
538	140076	119805
539	140370	119574
540	140668	119347
541	140969	119121
542	141250	118879
543	141586	118682
544	141849	118424
545	142115	118169
546	142410	117937
547	142718	117716
548	142970	117448
549	143250	117204
550	143482	116921
551	143779	116690
552	144088	116469
553	144369	116225
554	144629	115964
555	144875	115691
556	145147	115440
557	145446	115210
558	145767	114997
559	146089	114784
560	146407	114568
561	146708	114338
562	146935	114051
563	147231	113817
564	147476	113543
565	147694	113250
566	147999	113022
567	148270	112768
568	148573	112539
569	148832	112276
570	149159	112065
571	149468	111840
572	149765	111604
573	150034	111349
574	150330	111114
575	150642	110889
576	150864	110598
577	151164	110365
578	151430	110107
579	151716	109863
580	152022	109633
581	152319	109397
582	152598	109148
583	152891	108909
584	153183	108668
585	153467	108422
586	153736	108165
587	154007	107909
588	154291	107663
589	154594	107429
590	154892	107193
591	155262	107005
592	155583	106783
593	155915	106568
594	156226	106339
595	156565	106128
596	156872	105895
597	157157	105647
598	157432	105392
599	157747	105164
600	158044	104925
601	158351	104690
602	158633	104440
603	158996	104242
604	159304	104009
605	159620	103779
606	159922	103541
607	160204	103289
608	160469	103027
609	160810	102813
610	161144	102594
611	161448	102356
612	161747	102114
613	162068	101886
614	162380	101653
615	162695	101420
616	162998	101180
617	163282	100928
618	163576	100682
619	163862	100432
620	164132	100170
621	164389	99902
622	164652	99637
623	164961	99400
624	165252	99151
625	165555	98910
626	165877	98679
627	166197	98448
628	166486	98197
629	166768	97943
630	167046	97686
631	167343	97440
632	167634	97190
633	167895	96923
634	168222	96694
635	168517	96447
636	168831	96209
637	169144	95972
638	169406	95705
639	169688	95449
640	170015	95219
641	170358	94997
642	170681	94764
643	170971	94512
644	171287	94274
645	171593	94030
646	171902	93788
647	172165	93521
648	172446	93264
649	172765	93027
650	173123	92811
651	173382	92541
652	173689	92297
653	173982	92045
654	174246	91778
655	174510	91511
656	174789	91252
657	175075	90996
658	175351	90735
659	175656	90489
660	175945	90235
661	176204	89965
662	176527	89728
663	176856	89493
664	177175	89253
665	177458	88995
666	177753	88743
667	178028	88481
668	178357	88245
669	178654	87994
670	178932	87733
671	179235	87484
672	179520	87226
673	179797	86964
674	180129	86729
675	180487	86506
676	180764	86243
677	181074	85997
678	181351	85734
679	181650	85482
680	181965	85237
